fecha_hora,1,2,3,4,5,6,7,8
7,,,,,,,,
8,,trabajando,trabajando,trabajando,trabajando,trabajando,trabajando,trabajando
9,,,,,,,,
10,,,,,,,,
11,,,,,,,,
12,,,,,,,,
13,,trabajando,trabajando,trabajando,trabajando,trabajando,trabajando,trabajando
14,,,,,,,,
15,,trabajando,trabajando,trabajando,trabajando,trabajando,trabajando,trabajando
16,,trabajando,trabajando,trabajando,trabajando,trabajando,trabajando,trabajando
17,,,,,,,,
18,,trabajando,trabajando,trabajando,trabajando,trabajando,trabajando,trabajando
19,trabajando,trabajando,trabajando,trabajando,trabajando,trabajando,trabajando,trabajando
