fecha_hora,1,2,3,4,5,6,7,8
6,,,,,,,,
7,,,,,,,,
8,,,,,,,,
9,,,,,,,,
10,,working,,working,working,working,working,working
11,,,,,,,working,working
12,,working,working,working,working,working,,working
13,working,working,working,working,working,working,working,working
14,,,,,,,,
15,,working,working,working,working,working,,working
16,,working,working,working,working,working,,working
17,,working,working,working,working,working,,
18,,working,working,working,working,working,,
19,,working,working,working,working,working,,
